InvoiceID,CustomerID,Product,Quantity,Price,InvoiceDate,Country,TotalAmount
INV-100001,50992.0,Jeans,2,30.25,2024-12-23 19:14:20.641727,United States,60.5
INV-100002,16520.0,Backpack,2,89.35,2025-11-12 01:40:18.641727,United States,178.7
INV-100003,20697.0,Laptop,1,849.55,2025-06-25 17:36:40.641727,India,849.55
INV-100004,63576.0,Running Shoes,4,86.91,2026-03-30 01:29:31.641727,France,347.64
INV-100005,61225.0,Desk Lamp,4,31.45,2025-10-25 22:58:00.641727,Italy,125.8
INV-100006,59941.0,Wireless Mouse,1,60.12,2024-12-26 18:29:58.641727,Netherlands,60.12
INV-100007,24078.0,Wireless Mouse,5,52.48,2025-10-19 09:20:50.641727,India,262.4
INV-100008,55894.0,Casual Sneakers,1,88.45,2025-12-30 09:23:59.641727,Australia,88.45
INV-100009,15486.0,Jeans,6,91.88,2025-07-12 04:35:03.641727,United States,551.28
INV-100010,22971.0,T-Shirt,5,9.43,2025-10-16 08:16:16.641727,Australia,47.15
INV-100011,54879.0,Sunglasses,6,108.84,2025-04-10 03:03:33.641727,United States,653.04
INV-100012,65525.0,Smartphone,1,307.41,2026-02-02 03:26:56.641727,Germany,307.41
INV-100013,68982.0,Coffee Maker,7,88.67,2024-09-28 03:32:15.641727,Australia,620.69
INV-100014,98374.0,Jeans,4,28.78,2025-02-11 11:28:49.641727,United States,115.12
INV-100015,86872.0,Formal Shirt,7,79.94,2024-10-10 01:00:17.641727,United States,559.5799999999999
INV-100016,44179.0,Bluetooth Headphones,5,149.3,2024-06-20 15:16:37.641727,Spain,746.5
INV-100017,80454.0,Running Shoes,5,128.1,2025-07-01 08:43:30.641727,India,640.5
INV-100018,18607.0,Coffee Maker,1,62.68,2024-07-03 02:04:31.641727,United Kingdom,62.68
INV-100019,87150.0,Smartphone,5,512.94,2024-09-19 18:35:34.641727,Spain,2564.7000000000003
INV-100020,44797.0,Wireless Mouse,4,35.83,2025-10-16 19:42:39.641727,France,143.32
INV-100021,78405.0,T-Shirt,6,16.72,2024-09-30 14:59:34.641727,Germany,100.32
INV-100022,97355.0,Desk Lamp,5,19.21,2025-12-28 22:02:54.641727,Italy,96.05000000000001
INV-100023,73290.0,Backpack,1,65.25,2024-05-13 13:22:57.641727,France,65.25
INV-100024,92821.0,Wireless Mouse,7,44.51,2025-03-07 07:24:28.641727,Canada,311.57
INV-100025,10912.0,Formal Shirt,1,74.26,2024-05-26 17:28:27.641727,Italy,74.26
INV-100026,25349.0,Jeans,3,58.38,2024-05-21 04:09:24.641727,India,175.14000000000001
INV-100027,66348.0,Running Shoes,2,98.09,2025-11-06 01:58:16.641727,Canada,196.18
INV-100028,58652.0,Casual Sneakers,7,93.59,2024-05-26 09:09:52.641727,United Kingdom,655.13
INV-100029,20843.0,Laptop,2,889.39,2026-01-19 00:53:48.641727,Canada,1778.78
INV-100030,74652.0,Wireless Mouse,6,45.15,2025-06-18 15:57:10.641727,Spain,270.9
INV-100031,15279.0,Sports Watch,2,364.91,2025-03-25 22:42:40.641727,United Kingdom,729.82
INV-100032,99168.0,T-Shirt,5,12.14,2026-02-07 06:46:24.641727,Netherlands,60.7
INV-100033,24076.0,T-Shirt,1,16.6,2025-01-15 16:37:06.641727,Italy,16.6
INV-100035,84095.0,Casual Sneakers,5,93.03,2025-01-31 22:35:29.641727,Germany,465.15
INV-100036,56263.0,Casual Sneakers,5,95.52,2025-07-26 15:20:01.641727,France,477.59999999999997
INV-100037,76945.0,Jacket,7,175.59,2025-12-17 04:26:04.641727,Germany,1229.13
INV-100038,73327.0,Formal Shirt,6,54.67,2025-05-08 08:27:02.641727,Australia,328.02
INV-100039,95388.0,Smartphone,4,316.1,2024-10-29 20:38:19.641727,United Kingdom,1264.4
INV-100040,51755.0,Jeans,3,81.28,2026-01-17 05:01:55.641727,Canada,243.84
INV-100041,98106.0,Coffee Maker,2,168.43,2025-06-18 22:04:14.641727,Canada,336.86
INV-100042,56508.0,Laptop,7,606.55,2025-12-06 07:54:20.641727,Germany,4245.849999999999
INV-100043,90394.0,T-Shirt,5,11.27,2025-02-17 05:58:34.641727,France,56.349999999999994
INV-100044,75936.0,Coffee Maker,7,135.3,2024-08-31 05:03:41.641727,United Kingdom,947.1000000000001
INV-100045,21963.0,Coffee Maker,4,120.67,2026-02-26 04:02:39.641727,United Kingdom,482.68
INV-100046,67926.0,Jeans,4,51.78,2025-08-15 07:01:47.641727,France,207.12
INV-100047,89053.0,T-Shirt,6,22.56,2024-11-18 08:45:01.641727,United States,135.35999999999999
INV-100048,21553.0,Laptop,6,1906.68,2025-12-17 08:43:49.641727,Canada,11440.08
INV-100049,85476.0,Casual Sneakers,2,92.93,2024-04-14 07:25:32.641727,Netherlands,185.86
INV-100050,19489.0,Formal Shirt,4,28.41,2026-02-15 18:26:38.641727,United Kingdom,113.64
INV-100051,88396.0,Running Shoes,2,66.18,2025-06-04 01:58:50.641727,United States,132.36
