InvoiceID,CustomerID,Product,Quantity,Price,InvoiceDate,Country
INV-100000,,Wireless Mouse,7,30.74,2025-04-20 20:59:08.641727,Italy
INV-100001,50992,Jeans,2,30.25,2024-12-23 19:14:20.641727,United States
INV-100002,16520,Backpack,2,89.35,2025-11-12 01:40:18.641727,United States
INV-100003,20697,Laptop,1,849.55,2025-06-25 17:36:40.641727,India
INV-100004,63576,Running Shoes,4,86.91,2026-03-30 01:29:31.641727,France
INV-100005,61225,Desk Lamp,4,31.45,2025-10-25 22:58:00.641727,Italy
INV-100006,59941,Wireless Mouse,1,60.12,2024-12-26 18:29:58.641727,Netherlands
INV-100007,24078,Wireless Mouse,5,52.48,2025-10-19 09:20:50.641727,India
INV-100008,55894,Casual Sneakers,1,88.45,2025-12-30 09:23:59.641727,Australia
INV-100009,15486,Jeans,6,91.88,2025-07-12 04:35:03.641727,United States
INV-100010,22971,T-Shirt,5,9.43,2025-10-16 08:16:16.641727,Australia
INV-100011,54879,Sunglasses,6,108.84,2025-04-10 03:03:33.641727,United States
INV-100012,65525,Smartphone,1,307.41,2026-02-02 03:26:56.641727,Germany
INV-100013,68982,Coffee Maker,7,88.67,2024-09-28 03:32:15.641727,Australia
INV-100014,98374,Jeans,4,28.78,2025-02-11 11:28:49.641727,United States
INV-100015,86872,Formal Shirt,7,79.94,2024-10-10 01:00:17.641727,United States
INV-100016,44179,Bluetooth Headphones,5,149.3,2024-06-20 15:16:37.641727,Spain
INV-100017,80454,Running Shoes,5,128.1,2025-07-01 08:43:30.641727,India
INV-100018,18607,Coffee Maker,1,62.68,2024-07-03 02:04:31.641727,United Kingdom
INV-100019,87150,Smartphone,5,512.94,2024-09-19 18:35:34.641727,Spain
INV-100020,44797,Wireless Mouse,4,35.83,2025-10-16 19:42:39.641727,France
INV-100021,78405,T-Shirt,6,16.72,2024-09-30 14:59:34.641727,Germany
INV-100022,97355,Desk Lamp,5,19.21,2025-12-28 22:02:54.641727,Italy
INV-100023,73290,Backpack,1,65.25,2024-05-13 13:22:57.641727,France
INV-100024,92821,Wireless Mouse,7,44.51,2025-03-07 07:24:28.641727,Canada
INV-100025,10912,Formal Shirt,1,74.26,2024-05-26 17:28:27.641727,Italy
INV-100026,25349,Jeans,3,58.38,2024-05-21 04:09:24.641727,India
INV-100027,66348,Running Shoes,2,98.09,2025-11-06 01:58:16.641727,Canada
